Package name;# Vulns
ansible;49
pygments;2
urllib3;8
pillow;35
django-oauth-toolkit;1
asteval;1
salt;40
aiohttp;2
nltk;2
channels;3
django;82
apache-airflow;24
httplib2;4
dynamodb-encryption-sdk;1
cryptography;7
markdown2;5
bleach;6
python-levenshtein;1
jinja2;5
python3-saml;2
python-saml;2
pysaml2;8
bottle;3
jupyterhub;1
cairosvg;2
clickhouse-driver;1
anyconfig;1
ipaddress;2
quart;1
rasa;1
pyomo;1
asyncssh;2
autobahn;2
jsonpickle;1
tensorflow;51
py;1
cheroot;1
lxml;4
oic;2
pwntools;1
genshi;1
notebook;10
werkzeug;8
aws-encryption-sdk;1
m2crypto;1
rsa;5
numba;1
aws-encryption-sdk-cli;1
django-two-factor-auth;2
splunk-sdk;2
django-cms;2
django-filter;1
py-mini-racer;1
pylint;2
pip;5
pytorch-lightning;1
flask-cors;1
pdoc3;1
django-celery-results;1
asyncpg;1
tftpy;1
pyyaml;4
wagtail;3
uvicorn;2
starlette;1
channels-redis;1
beaker;3
rtslib-fb;1
gdal;2
django-jsonfield;1
meinheld;1
django-select2;1
fastapi;1
ec2-metadata;1
sceptre;1
platformio;1
django-hashid-field;1
sockjs-tornado;1
sphinx;2
mitmproxy;2
confluent-kafka;1
thrift;4
codecov;2
cookiecutter;1
pyramid;5
imageio;1
twisted;7
waitress;8
flask-appbuilder;3
django-cors-headers;1
webargs;2
svglib;1
drf-jwt;1
django-user-sessions;1
pyinstaller;1
gunicorn;2
ecdsa;3
django-allauth;1
validators;1
rply;2
psutil;1
pyarrow;2
keyring;3
graphite-web;4
sqlalchemy;2
rpyc;1
elastic-apm;1
django-js-reverse;1
httpie;1
pyspark;2
paramiko;3
scapy;2
flask;3
python-engineio;1
knack;1
djangorestframework;6
cherrypy;2
scrapy;2
djoser;2
pyxdg;2
ansible-runner;1
pypiserver;3
protobuf;1
aioxmpp;1
colander;1
numpy;4
msgpack;1
pykmip;1
luigi;2
aiohttp-session;2
marshmallow;1
requests;6
django-storages;1
flask-admin;3
pyopenssl;3
django-registration;1
websockets;1
tornado;4
pyro4;1
homeassistant;1
pyftpdlib;13
paste;4
cfscrape;1
django-registration-redux;1
tablib;1
flex;1
rope;1
astropy;1
uwsgi;1
django-anymail;2
django-cacheops;1
peewee;1
mxnet;1
pycrypto;4
ldap3;1
keystonemiddleware;3
mistune;3
setuptools;4
python-cjson;2
pyjwt;2
oauthlib;1
ipython;6
html5lib;2
gevent;1
formencode;1
django-haystack;1
django-crispy-forms;2
defusedxml;2
coveralls;1
awscli;1
sanic;1
recurly;1
ovs;4
pygresql;1
peppercorn;1
dulwich;3
django-jet;1
ansible-vault;1
django-revproxy;1
django-fernet-fields;1
django-countries;1
supervisor;1
apache-libcloud;3
oauth2;2
certifi;1
boto3;1
tqdm;1
wtforms;1
celery;2
flower;1
flask-oidc;1
pycares;1
python-jose;1
jwcrypto;1
hpack;1
textract;1
python-docx;1
virtualenv;1
webob;1
ua-parser;1
bson;1
websocket-client;2
tlslite;1
fabric;2
boto;1
twine;1
requests-kerberos;1
eyed3;1
python-swiftclient;1
scipy;1
suds-py3;1
pymongo;1
twilio;1
bbcode;2
tweepy;1
facebook-sdk;1
feedparser;4
pastescript;1
django-tastypie;1
mako;1
